Simulación,Start Date,End Date,Rendimiento Anual Promedio,Desviación Estándar Anual,Downside Risk,CAGR,Rendimiento Efectivo,Sortino Ratio
1,2012-02-24,2017-02-24,0.11840036357775313,0.1279472244748424,0.09262549944663305,0.11648909285711406,0.7333753897653426,0.8248307867076261
2,2017-05-30,2022-05-30,0.12979072660282898,0.20349898788834417,0.17766309709759906,0.11509339237951366,0.7233300810388941,0.4941415974224586
3,2019-02-25,2024-02-25,0.14267594515794196,0.21253917780658374,0.17339659405984004,0.1274438180145112,0.8199568719343375,0.5806108574612381
4,2018-08-18,2023-08-18,0.10897221760405869,0.21756808639514985,0.17603190475834576,0.08891764714835881,0.5294481672555307,0.38045499590541415
5,2017-03-20,2022-03-20,0.14598830954222497,0.19719472358600762,0.17321916461965717,0.13473521774302522,0.8804198798712122,0.6003279704676755
6,2019-03-02,2024-03-02,0.14480805338346064,0.21255229729314537,0.17355329625425822,0.12984571928849165,0.8393947208538948,0.5923716552916706
7,2010-07-16,2015-07-16,0.1497067061359511,0.15044926257769736,0.115069402998098,0.1483598236853667,0.9948632985143457,0.9360151641503816
8,2017-01-26,2022-01-26,0.14664973286016636,0.19319205240347684,0.1722637046183356,0.13637174261473195,0.8940080051441444,0.6074972850028184
9,2011-10-19,2016-10-19,0.1240926957503727,0.13732669495078467,0.09915803883190978,0.12146899996565352,0.7723162879034382,0.8278975332452286
10,2012-04-19,2017-04-19,0.11420094388212447,0.12664840424821527,0.09206760357325297,0.11199603602228025,0.6981159742401613,0.7842166090994025
11,2012-02-04,2017-02-04,0.11566499274058237,0.12811105226299493,0.09250188154536608,0.11341736861914598,0.7089702654677292,0.7963621010720148
12,2011-10-08,2016-10-08,0.1276841823264584,0.13818409865503567,0.09952845703180675,0.12536965241990683,0.8024587734696669,0.8609013430106317
13,2014-01-10,2019-01-10,0.07769475607085718,0.13365355189969758,0.10571217539713301,0.07116003913748314,0.4094019656529202,0.3376598384884363
14,2011-03-06,2016-03-06,0.09729756284785876,0.15784571884084256,0.12010196979942768,0.08850487187567269,0.5265584199892197,0.4604217810932379
15,2013-10-13,2018-10-13,0.10403374377716934,0.12391182805595471,0.09809992040580143,0.10111524551660644,0.6180721222299179,0.632352641271876
16,2013-11-16,2018-11-16,0.09279138553337836,0.1264057133018209,0.09985295490981323,0.0884693170373585,0.5273369548849587,0.5086618175621636
17,2014-07-02,2019-07-02,0.09096817420448924,0.1339736793878425,0.10533002971320145,0.08542313665721091,0.5056112148753897,0.4649023107448327
18,2016-04-20,2021-04-20,0.153932820775957,0.1912402345045782,0.17126137981207867,0.145102015592671,0.9667713724665938,0.6535788798313922
19,2013-09-18,2018-09-18,0.11184252015516301,0.12323238316872859,0.09603670304370278,0.10984036568329314,0.6831506013953561,0.7272482076293294
20,2017-04-05,2022-04-05,0.1505867755863929,0.19768338776376213,0.17342687043775334,0.1398523590790408,0.923168877830906,0.62612428692454
21,2019-09-25,2024-09-25,0.1530972858751413,0.21254906040115676,0.17307227428790112,0.1392480568102823,0.9170883626309378,0.6419126710632687
22,2010-01-24,2015-01-24,0.13830786319049085,0.1599292149303676,0.12402145314460418,0.13367988404553333,0.8707671671180575,0.7765419671240235
23,2011-01-08,2016-01-08,0.09520429133340227,0.15529557880362554,0.1192235460892478,0.08666161977303255,0.5137074457939554,0.4462565749686295
24,2016-04-04,2021-04-04,0.15177475410119662,0.1912957784744069,0.17132296998131186,0.1426225470430973,0.9456037834927828,0.6407474380882551
25,2014-06-09,2019-06-09,0.08650104686990244,0.13384103735043126,0.10530835916233551,0.08060599429522819,0.47254867810703205,0.4225784849738561
26,2015-09-22,2020-09-22,0.1254880461499272,0.19163167607814416,0.17032503113227213,0.11292419354410277,0.7066463268506558,0.4901689763091339
27,2015-06-27,2020-06-27,0.09499615811761142,0.19359487979988207,0.17080904706881037,0.0791069542546583,0.4623793306504804,0.3102655218037832
28,2019-08-29,2024-08-29,0.15247143597189025,0.21208553720895978,0.17279624908538022,0.13864833254257714,0.9120556837419902,0.6393161689366607
29,2010-02-27,2015-02-27,0.13982517190902313,0.15909887916350418,0.1231811656162928,0.1355523341683731,0.8862429069214792,0.7941568941939293
30,2011-08-08,2016-08-08,0.14515613596682775,0.1519059993314641,0.11074901442239436,0.14292340301453188,0.9481624789436174,0.9314406679358107
31,2019-07-02,2024-07-02,0.14619643585143383,0.21213440345866277,0.17304660224571464,0.13151576638529883,0.853007473075847,0.6021293368331024
32,2016-04-15,2021-04-15,0.15771624934713532,0.19120986624805017,0.1715490782978712,0.14944666976485865,1.0043061622707437,0.6745372839964204
33,2011-08-01,2016-08-01,0.11706113338333243,0.15672984600521714,0.12071996118237585,0.11041702241832452,0.6868231516060725,0.6217789721613226
34,2017-12-03,2022-12-03,0.1106322195378481,0.2175553255638534,0.18026498706695915,0.09071844586889077,0.5426378480135223,0.3807296172958688
35,2013-10-24,2018-10-24,0.09112144202566387,0.12500658326104536,0.0993566169474644,0.08684422919290347,0.5159783450894475,0.4943952756728545
36,2017-04-14,2022-04-14,0.14502761443412882,0.1979766745258046,0.17334349376463495,0.13347080899957553,0.8699749364577103,0.5943552434337066
37,2016-06-18,2021-06-18,0.15736803721925946,0.1916530246853085,0.17181783046334512,0.14894880086128315,0.9999760927937118,0.6714555579484609
38,2013-05-27,2018-05-27,0.10678047115419237,0.12503162400014456,0.09751570086243583,0.10399112965835156,0.639296159218637,0.6643081122451999
39,2010-08-25,2015-08-25,0.12580457676376017,0.1510877034153392,0.11729010758131461,0.1211362814145358,0.7696929520825451,0.7145067771863055
40,2019-07-24,2024-07-24,0.14018191545811046,0.21260463200049848,0.17319143785891283,0.124621212773802,0.7973247021090841,0.5668982062386508
41,2011-01-30,2016-01-30,0.09477834973457222,0.15691173063970112,0.11997893586153825,0.08592549743463418,0.5085995067338844,0.4398967981803164
42,2018-03-06,2023-03-06,0.10289255097471213,0.21773635344857345,0.17727395659884015,0.08227822141500374,0.4839595574877533,0.3434940593812556
43,2013-10-03,2018-10-03,0.11878979458031694,0.12304994851807514,0.09632635467329421,0.11759921952245311,0.7427650329420257,0.7971836455429195
44,2010-10-28,2015-10-28,0.12575238477423523,0.15363123861845757,0.11879616801296447,0.12064517306015143,0.7658264592433164,0.7050091444455948
45,2018-08-05,2023-08-05,0.1143304207234685,0.21747506481861276,0.17635258121366157,0.09478762391435946,0.5710180811731633,0.41014665181359555
46,2010-12-01,2015-12-01,0.12309445898222884,0.15301920525504634,0.11864585271494521,0.11777610422810358,0.7433730848546956,0.6835001572036726
47,2015-07-13,2020-07-13,0.1004230582475378,0.19376263097151744,0.17065725812053323,0.08494247541212308,0.502771872712926,0.3423414795887221
48,2019-03-31,2024-03-31,0.14413255271970857,0.21242147866800978,0.17339085953492842,0.12911473566961962,0.8325783101342727,0.5890307770181775
49,2011-05-25,2016-05-25,0.10444996463068125,0.1573548970078173,0.11970606141438303,0.09640103203452166,0.5831787813768514,0.5216942558530934
50,2016-04-07,2021-04-07,0.15709371451435483,0.19120264210639112,0.1714634885183889,0.14873335758487416,0.9981046583234727,0.6712432804725735
51,2019-12-10,2024-12-10,0.1541141399376459,0.2127014419476046,0.17297895032294638,0.14037041008873175,0.9265352235970907,0.6481374741165455
52,2016-12-01,2021-12-01,0.16323108163663272,0.1914595240936634,0.17267327748221445,0.15574485340806188,1.0597330440448802,0.7020836310303987
53,2013-05-28,2018-05-28,0.10678047115419237,0.12503162400014456,0.09751570086243583,0.10399112965835156,0.639296159218637,0.6643081122451999
54,2018-05-04,2023-05-04,0.10816191250220766,0.21694569198140257,0.1767343444374416,0.0881822320130412,0.524813994724534,0.3743579818218461
55,2016-07-25,2021-07-25,0.1606200921392842,0.19072873516234493,0.17091244887618817,0.15289555046786485,1.034508078838166,0.6940400943246361
56,2010-06-22,2015-06-22,0.14416551923572696,0.15204287801857713,0.11656253105462241,0.14174160742830222,0.9381270910464761,0.8764867947818594
57,2011-07-11,2016-07-11,0.10902548399706753,0.15738943365856595,0.12056224295724882,0.1014195365756212,0.6196863393634089,0.5559409177617463
58,2013-06-12,2018-06-12,0.11732123659522677,0.12470132064525158,0.09750706757016245,0.11573085735146793,0.7282576736420121,0.7724695088489706
59,2018-02-20,2023-02-20,0.10529074312166727,0.21779603038735681,0.1772070722822023,0.08486211062435367,0.5017303473251049,0.3571569819791207
60,2014-04-26,2019-04-26,0.09948307959376991,0.13240509415370846,0.10484437757083562,0.09493059614172994,0.5726075853849957,0.5482705026784371
61,2013-03-21,2018-03-21,0.12009254989242023,0.12281756681610963,0.0956667225250661,0.11908689593556376,0.7543859787664944,0.8162979543065126
